cpf_cliente,nome_cliente,email_cliente,telefone_cliente,celular_cliente,cep_cliente,endereco_cliente,numero_cliente,complemento_cliente,bairro_cliente,cidade_cliente,estado_cliente,senha_cliente,nivel_acesso
84658120399,Joshua Barr,troyburke@example.com,863.810.8982x4913,(742)513-7837,27199,"932 Elizabeth Walk West Chadstad, MI 09410",5651,Suite 424,Bellport,East Donaldburgh,GU,^_50AsF@Ds,2
75226863188,Nancy Garcia,chelseygalloway@example.com,548.935.4972,448-371-7437x013,09320,"64948 Hale Port Guerraburgh, NY 24140",36094,Apt. 151,Lake Terry,North Ricardo,CO,$YUTiDM4b1,2
30941245511,Patricia Blankenship,reedbarbara@example.net,(401)515-6687,001-357-692-6107,63684,"933 Andrew Divide Apt. 842 Lake Zachary, MP 89816",132,Apt. 042,Kristinborough,East Rogerburgh,MH,%QDL1LmZF1,2
43913158744,Jonathan Fernandez,morahunter@example.org,001-202-333-6734x6982,+1-507-763-6768,14654,"2816 Hart Mall Apt. 480 Kennedybury, GA 79427",4152,Apt. 236,North Jennifermouth,New Davidshire,NH,^%q1ElsJW&,2
49734689166,Shannon Roberson,clayton57@example.org,+1-536-305-0433,704.268.9402x654,85055,"65962 Kramer Highway Rossshire, NJ 92353",9785,Apt. 746,Ivanshire,Davismouth,NM,Ym8G8!#h@@,2
73614472366,Carlos Cooper,rachel56@example.net,(230)283-2796x203,001-645-208-6360x4046,42271,"09598 Stephen Hollow North Jamesmouth, MO 60396",571,Suite 193,Blackburnstad,Courtneyland,GA,)*gSu1Gp1x,2
25268234477,Jacob Silva,wellsdawn@example.com,656-418-9157x346,3505435648,76983,Unit 5034 Box 3144 DPO AP 84932,1744,Suite 148,North John,Kristinachester,AL,%I0UsoQ(Q@,2
81669505700,Danny Gonzalez,stephensonnicholas@example.org,+1-389-897-3706x1178,(536)894-5083x65919,94910,"8828 Hardin Station Apt. 085 Tuckerberg, DC 50426",59928,Apt. 039,Holmesburgh,Melissaland,KS,%3%feK@u&5,2
88491244577,Sharon Graham,zsweeney@example.org,6933975352,+1-621-550-5070x93041,49121,"089 Alexander Gateway Suite 110 East David, OR 65959",596,Suite 484,Makaylaside,Lake Luisstad,UT,6IaQ^ZKf(Q,2
48962009266,Robert Clements,bpreston@example.net,335.306.4544x6550,201.208.8017x525,57957,"90812 Johnson Trafficway Matthewshire, WI 45653",46848,Apt. 950,Port Michelle,East Jennifer,MT,%L0cJ+ani2,2
15103584211,Kelsey West,ohebert@example.com,+1-779-513-8412,582.844.8828,94604,"269 Joyce Fields Apt. 992 New Robert, NV 59463",23386,Suite 874,Warnerland,West Stephanieburgh,MI,iFg0(2Dpy+,2
86649409088,Mary Gonzalez DVM,kim54@example.net,(504)862-1100,(757)433-6865x34067,66147,"1751 Carney Tunnel Apt. 577 South Angela, NV 39855",8186,Suite 844,South Michaelstad,Ryanland,NH,gi@4NU5Lv_,2
94438876577,Courtney Wallace,jordan47@example.com,507.531.3604,518.462.8841x6148,54575,"706 Terri Hill East Amanda, MS 85517",087,Suite 284,Skinnermouth,New Carolyn,AS,0qH+1sZjHb,2
68544061533,Joyce Smith,vcampbell@example.net,(810)905-3041x99393,273-266-8238x719,19174,"75546 Oconnor Ways Lake Ronald, ID 74579",429,Suite 570,Davismouth,Dawnshire,MH,LejlV5Yt)O,2
48229131211,Derek Lawson,jray@example.net,001-699-448-7967x18058,734.928.1152,97093,"6214 Hunt Rapid Ramirezshire, KS 23162",837,Suite 941,New Jenniferview,South Jason,PR,)Yo7CuOife,2
75502655266,Melissa Evans,porterjoseph@example.net,+1-350-568-7851x4050,640.524.1037x968,50379,"5892 Jones Rest Brendaborough, PA 28721",5040,Apt. 132,Kristinaview,South Tiffanybury,MO,+MUSfL7$s3,2
05826364188,Monica Lloyd,leslie40@example.com,(949)961-9128x68210,+1-976-987-4253x52279,51551,"06587 James Ferry Apt. 173 East Keithfort, NV 39346",93040,Suite 613,Millsmouth,Ryanhaven,MP,n55(tVZb+I,2
94328457700,Curtis Singleton,kristiestewart@example.net,001-733-485-6006x771,001-277-950-7339x8487,10874,"78772 Meghan Manor Kelseystad, NH 65635",97235,Suite 046,North Anthony,Crystalfurt,MI,KvAnoi+7!9,2
63661308333,Patrick Williams,quinntricia@example.org,655-393-6420x1854,(443)292-4764x5212,89660,"721 Christopher Crossroad Wrightchester, NY 19499",07566,Apt. 178,Port Karenborough,Davismouth,MD,fCF7hIlBF$,2
09718842000,Ryan Davila,jbutler@example.com,001-221-691-6331,001-738-527-9768,96017,"595 Brown Estates Suite 319 East Linda, SC 77241",81283,Apt. 349,Muellerview,South Thomasville,DC,)4FQ(^qgrb,2
70631347366,Evan Bennett,tylernelson@example.net,955-582-8768,(356)497-6057x661,05888,"8013 Blankenship Islands Juliefort, UT 66256",35007,Suite 053,Frankmouth,East Mariahaven,FM,%tk5YJ3xfN,2
90166286733,Brooke Camacho,mitchelljessica@example.net,001-961-425-6928,3162871340,84618,"502 James Square Suite 932 Jeffreyland, TX 28102",3780,Apt. 356,Wilcoxview,Anthonystad,ND,krz&HANd+6,2
60116174255,Amanda Mendoza,hancockbrett@example.net,829-653-3474,605.372.1352x3241,16207,"51369 Sarah Groves Suite 295 West Meghan, WV 30352",393,Apt. 743,Jeffmouth,East Benjaminland,IL,b1FoUnSr+0,2
60282888611,Amy Roberts,vsanchez@example.org,001-882-784-4805,621-941-2623x15526,09412,"87680 Owens Branch East Nicoleport, VT 20982",14280,Apt. 610,Toddville,West Manuel,MI,+m0_AIik2V,2
33574154299,Kimberly Ellis,timothy69@example.com,279.706.2215,(681)512-1211,56464,"8417 Ashlee Shores Apt. 989 South Chad, NH 26957",457,Suite 912,South Sarahburgh,West Caleb,AR,+i0Iqkhh*6,2
32689624166,Sarah Grant,aharvey@example.com,433.965.9963,+1-962-926-9250,91459,"7158 Glenn Loop Lake Sherriport, MA 23270",059,Apt. 676,Jacksonhaven,Ruizberg,UT,$$X7w#Em%S,2
39312569522,Lauren Berry,matthewmiller@example.net,2079130345,519-861-0714,00711,"9705 Miranda Village Lake Jeremiahstad, OK 59738",762,Suite 448,Port Jennifershire,Kaylahaven,AS,(6NNy*qaIA,2
91846951455,Becky Erickson,glenncruz@example.org,+1-578-443-0414,(721)431-0589x2197,84037,"68696 Green Trafficway West Amber, IN 24252",1924,Suite 507,Curtisland,Rachelside,FM,g0ww7LaC7!,2
20354244533,Alexis Clark,cschmidt@example.net,600.485.8574,001-565-455-3300x85617,88222,"PSC 5244, Box 0596 APO AE 24985",5421,Apt. 563,Keithview,Bakerport,ND,!2G8wuLu$&,2
88111590244,Dana Soto,qsoto@example.com,287-819-1331x7429,567.848.9381x92146,78020,"503 Rebecca Fields Edwardmouth, WA 12816",49329,Suite 966,Juanfort,Kellyport,TN,6&*_J4VeW$,2
87351920033,Karen Day,wgonzalez@example.org,(749)333-4106x6530,407-548-5398,94276,"16467 Brady Locks South Lori, IA 95909",502,Apt. 351,Allisonhaven,Amandamouth,IN,AN8dCwiNU_,2
60079494277,David Finley,xware@example.net,901-762-4606x53098,764-602-4709x85531,46471,Unit 8150 Box 5396 DPO AE 81337,2266,Apt. 413,New Stacy,East Victoriatown,AR,vCuXbAXF+9,2
87141222011,Aaron Hays,karisanchez@example.com,(918)976-0857x784,001-594-403-5847x0378,99595,"73265 Stacey Port East Sethhaven, GA 06523",7705,Suite 059,Lake Deborah,North Hollyside,NH,uyl_4O2xtM,2
68577416111,Adam Chapman,james93@example.net,(743)476-3236x355,001-856-505-9400,95698,"672 Brown Canyon Suite 811 South Wendyland, DC 28209",9089,Apt. 200,East Kirk,New Taylor,RI,!5UkdM5dYA,2
12071493499,Claudia Spencer,cjensen@example.org,+1-236-918-2546,(913)221-7419,56213,"173 Henson Walk Suite 983 Richardborough, ME 94735",621,Suite 999,Grahamchester,Barrettbury,NM,#a1KOLMqbn,2
59210340455,Melissa Schmidt,williamssarah@example.org,427-965-0039x562,+1-648-697-3831x2311,70020,"41821 Alexis Throughway Apt. 152 East William, OR 78002",052,Suite 479,Lake Jeanetteport,Michellehaven,IA,akmX2Wwc)),2
25836653677,Michael Mccarthy,kim79@example.com,702.834.2599,001-707-610-3722x1451,14586,"109 Jessica Plains Suite 577 Wandaborough, MA 86375",6546,Suite 448,Perezstad,West Amyside,AZ,h&T6H(yP%D,2
40375679977,Dawn Stephenson,garciatanya@example.org,711-806-5515,(736)503-8940,26095,"6267 Price Circles Suite 422 South Kelliborough, ID 59538",88855,Suite 979,Lake Allenfurt,Lake Yolandamouth,DC,#8+(J@Aj(C,2
81217384233,Kathleen Ho,brennankatrina@example.com,877.788.2140x2401,727.908.6811x83573,29103,"08979 Michelle Crescent Suite 576 Jimmyshire, AL 20378",841,Suite 903,Port Kylieborough,South Christopher,FM,!0qJpSajLj,2
23909802955,Joshua Simon,joseph18@example.org,001-971-571-5743x34188,507.838.0782,18719,"84687 Alexis Place North Julie, MA 77929",463,Suite 276,Millerberg,Anthonyland,OH,T+4TWPll#l,2
49220124355,Cheryl Gutierrez,theresa06@example.net,599.980.3452,001-688-914-0777x4179,99135,Unit 4691 Box 3077 DPO AP 08057,95302,Suite 681,Millertown,Stephanieton,KY,7mLC+jGx)l,2
83831565111,Marisa Moreno,leahdecker@example.org,001-455-383-4214x457,(336)812-6387x53786,72235,"13634 Johnson Mountain Apt. 934 New Teresachester, ID 08213",78910,Suite 470,East Dylanmouth,West Keith,NJ,7xzYPDl8#o,2
35578465399,Alexander Griffin,moonjoshua@example.org,4189941189,+1-843-448-1370x503,02230,"192 Williams Mission Jamesfurt, ID 76642",53312,Suite 719,Rogerstown,Port Jacob,MT,+b1SunBB%J,2
28271384177,Michael Rivera,alexanderknight@example.net,913.504.6873x9381,321.621.1576x354,13392,"273 Karina Via Apt. 935 Careyside, IA 77136",163,Apt. 853,New Anthonyton,Jasonton,KS,MH1EEjO*+O,2
52003618000,Edward Smith,daniel54@example.org,484-543-4698x1543,(961)804-6399,31546,"0870 Michelle Ways Castroborough, OK 24856",1005,Suite 383,West Joshuashire,Port Kenneth,VI,cX^7Hlp#Fy,2
81086158444,Tammy Carter,joy94@example.org,+1-276-242-3468x3147,(295)260-2979x996,69996,"10564 Alexis Mountain Suite 639 North Johnborough, NY 78283",42287,Apt. 069,Kristieborough,Kruegerchester,MN,_nWayk&%D8,2
07545333955,Andre Thomas DVM,hfigueroa@example.net,001-347-549-5446x47248,575-524-0520,31952,"587 Erin Shore Suite 032 South Matthew, ND 85377",4427,Suite 106,Adammouth,Briggsberg,KS,+1MExQ$^*c,2
99293073388,Jennifer Lee,corydixon@example.org,940-482-0330x973,+1-368-718-7201x59547,94260,"237 Martin Drives Jeremytown, WV 22939",041,Suite 009,Ellismouth,New Rhondafurt,NM,10AjW9o4#4,2
01325506611,Brenda Calhoun,michelle07@example.com,+1-840-529-0849x42835,001-792-997-0719x8705,89495,"PSC 6348, Box 1483 APO AP 54567",4491,Suite 809,Port Rebecca,Royshire,NV,gkRwSsHw&2,2
13156659300,Karen Davis,glenyoung@example.org,766-279-2854x720,959.305.2932x3867,66387,"61714 White Inlet Port Jacob, VT 42035",81573,Suite 766,Port Lauraburgh,West Jill,KY,2@T*3RsckE,2
90299765433,Laura Stewart,gregoryvega@example.org,(304)604-8454x37832,(232)933-7732x8785,56866,Unit 4038 Box 5667 DPO AA 53182,40757,Apt. 188,Kennedyborough,Jacksonstad,AR,)7aWpzLzF1,2
38913104633,Margaret Landry,thomas15@example.com,417.461.6394,345.211.3054,42816,"920 Peterson Walks Acostaberg, TN 80650",562,Suite 977,Feliciaburgh,South Jeffrey,MT,q0XRgig3*b,2
27716147744,Michael Malone,abigailmiller@example.org,001-554-945-4144x6057,678.501.2512,03463,"3001 Houston Glen Apt. 239 West Abigail, CT 10584",41669,Suite 336,South Jamesshire,East Kenneth,PR,_Q9HWnI#((,2
19057474388,Jennifer Cole,rthomas@example.org,(542)426-1557,633.295.7483x1820,76693,"PSC 2319, Box 7991 APO AE 66916",32735,Suite 375,Nicholasmouth,Jamesstad,CA,ytv8RyuF^5,2
47295609499,Daniel Watts,margaret52@example.net,359.866.1193x4261,(240)799-1055x762,91865,"162 Wilson Cove South Amy, ME 65406",037,Suite 485,West Michaelburgh,Lake Jesse,ME,&sBT^GCt%9,2
32327908100,John Davis,luisrussell@example.com,(673)534-0099,307-216-4364,52371,"7566 Lucas Prairie Lynnstad, NE 67471",8987,Suite 675,Kathleenview,Lake Alicia,RI,Ywn)X7YzS7,2
75705805755,David Hoover,dgonzalez@example.org,+1-554-919-4345x0771,200.615.8448x57598,86178,"9247 Kelly Dam Apt. 934 Rodriguezburgh, GU 01258",711,Suite 693,New Michaelberg,East Laurenland,IL,661VFXsSg&,2
50537355499,William Weaver,davidharris@example.com,(447)416-8834,+1-266-729-1427x328,05042,"7339 Wilson Unions South Bradleyland, CA 74351",9749,Apt. 485,Deniseville,North Dominique,IL,@D)6Dstsp@,2
99168080400,Megan Bennett,lauriewilliams@example.com,(883)560-2692,677.990.4571x056,28919,"833 Bob Mountains Lake Jenniferport, FL 45926",68838,Apt. 299,Lake Kristine,Gregoryburgh,AL,y_M7RMGipQ,2
31464445000,Lauren Hughes,megan95@example.net,481-493-0197x56947,705-593-8155x23116,37799,"8972 Bradley Dam Apt. 873 Lake Katelynport, NC 58323",05971,Suite 748,Erinhaven,Carrollport,GU,oPN9G#Dn%6,2
06329161500,Nancy Smith,emilywatkins@example.net,351-397-6934,3387721690,97677,"0434 David Ways Lake Jamesport, MH 12124",40954,Apt. 223,Walkerberg,West Patriciaborough,TN,*)GRF2v$^K,2
88355504244,Tracy Nelson,estanley@example.org,(237)567-5336,311-381-6581x197,01952,"61117 Leslie Coves Suite 892 New Danielleberg, OK 03600",55904,Suite 315,Abigailmouth,Timothychester,KY,C6n*5rDgC@,2
50476409900,Mary Smith,afowler@example.com,933-973-0848,279-872-7503x2083,77752,"06560 Rivas Branch Port Jeffery, MP 71420",182,Suite 261,West Jamie,Kennedyborough,TN,T4LnK*og$j,2
23614840488,Kyle Oliver,natalie52@example.net,381-633-0579x1302,(262)940-7576x40419,23714,"5872 Smith Stravenue Careyhaven, CT 32366",0205,Apt. 228,Silvaland,Nicholasview,CA,6z(7!Synl$,2
32361720299,Rachel Miles,rbest@example.com,(584)597-8480x7912,(325)638-5463x72568,40701,"974 Rachel Expressway New Frances, GA 09573",83877,Suite 635,West Amandaland,South Bradleyland,MI,y6rWIb#6%C,2
07584026355,Gabriela Carson,dawn30@example.net,961.676.0164x72840,+1-221-692-1838x009,36989,"98282 Clark Pass Mortonside, KY 13262",03354,Suite 921,Penningtonton,North Davidton,SC,3nTw34im)K,2
62517623311,Eric Matthews,abanks@example.com,(638)987-9395x7309,897-661-8470x29850,88034,"45376 Anthony Drives Hoffmanburgh, CO 56862",279,Suite 167,West Jessicafort,New Benjamin,MP,ktB22Znx5%,2
